,Song,Artist,Main Artist,Featuring Artist
0,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark Ronson,Bruno Mars
1,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,LMFAO,Lauren Bennett & GoonRock
2,Shape Of You,Ed Sheeran,Ed Sheeran,
3,Closer,The Chainsmokers Featuring Halsey,The Chainsmokers,Halsey
4,Girls Like You,Maroon 5 Featuring Cardi B,Maroon 5,Cardi B
5,We Found Love,Rihanna Featuring Calvin Harris,Rihanna,Calvin Harris
6,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Lil Nas X,Billy Ray Cyrus
7,Somebody That I Used To Know,Gotye Featuring Kimbra,Gotye,Kimbra
8,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Luis Fonsi & Daddy Yankee,Justin Bieber
9,Rolling In The Deep,Adele,Adele,
10,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Post Malone & Swae Lee,
11,Without Me,Halsey,Halsey,
12,Call Me Maybe,Carly Rae Jepsen,Carly Rae Jepsen,
13,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,Robin Thicke,T.I. + Pharrell
14,Perfect,Ed Sheeran,Ed Sheeran,
15,Sicko Mode,Travis Scott,Travis Scott,
16,All About That Bass,Meghan Trainor,Meghan Trainor,
17,Royals,Lorde,Lorde,
18,God's Plan,Drake,Drake,
19,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Maroon 5,Christina Aguilera
20,Happy,Pharrell Williams,Pharrell Williams,
21,Just The Way You Are,Bruno Mars,Bruno Mars,
22,Rockstar,Post Malone Featuring 21 Savage,Post Malone,21 Savage
23,TiK ToK,Ke$ha,Ke$ha,
24,See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz Khalifa,Charlie Puth
25,Dark Horse,Katy Perry Featuring Juicy J,Katy Perry,Juicy J
26,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,Macklemore & Ryan Lewis,Wanz
27,One More Night,Maroon 5,Maroon 5,
28,We Are Young,fun. Featuring Janelle Monae,fun.,Janelle Monae
29,That's What I Like,Bruno Mars,Bruno Mars,
30,The Hills,The Weeknd,The Weeknd,
31,All Of Me,John Legend,John Legend,
32,Happier,Marshmello & Bastille,Marshmello & Bastille,
33, Shake It Off,Taylor Swift,Taylor Swift,
34,One Dance,Drake Featuring WizKid & Kyla,Drake,WizKid & Kyla
35,Radioactive,Imagine Dragons,Imagine Dragons,
36,Sexy And I Know It,LMFAO,LMFAO,
37,Someone Like You,Adele,Adele,
38,Counting Stars,OneRepublic,OneRepublic,
39,E.T.,Katy Perry Featuring Kanye West,Katy Perry,Kanye West
40,Trap Queen,Fetty Wap,Fetty Wap,
41,Love Yourself,Justin Bieber,Justin Bieber,
42,Firework,Katy Perry,Katy Perry,
43,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Pitbull,"Ne-Yo, Afrojack & Nayer"
44,Locked Out Of Heaven,Bruno Mars,Bruno Mars,
45,Love The Way You Lie,Eminem Featuring Rihanna,Eminem,Rihanna
46,Thinking Out Loud,Ed Sheeran,Ed Sheeran,
47,Sorry,Justin Bieber,Justin Bieber,
48,California Gurls,Katy Perry Featuring Snoop Dogg,Katy Perry,Snoop Dogg
49,Dynamite,Taio Cruz,Taio Cruz,
50,Lucid Dreams,Juice WRLD,Juice WRLD,
51,Hello,Adele,Adele,
52,Work,Rihanna Featuring Drake,Rihanna,Drake
53,Grenade,Bruno Mars,Bruno Mars,
54,"Hey, Soul Sister",Train,Train,
55,I Like It,"Cardi B, Bad Bunny & J Balvin","Cardi B, Bad Bunny & J Balvin",
56,Wake Me Up!,Avicii,Avicii,
57,Don't Let Me Down,The Chainsmokers Featuring Daya,The Chainsmokers,Daya
58,Havana,Camila Cabello Featuring Young Thug,Camila Cabello,Young Thug
59,OMG,Usher Featuring will.i.am,Usher,will.i.am
60,Bad Guy,Billie Eilish,Billie Eilish,
61,Fancy,Iggy Azalea Featuring Charli XCX,Iggy Azalea,Charli XCX
62,Can't Feel My Face,The Weeknd,The Weeknd,
63,Wow.,Post Malone,Post Malone,
64,Blank Space,Taylor Swift,Taylor Swift,
65,Cheap Thrills,Sia Featuring Sean Paul,Sia,Sean Paul
66,Some Nights,fun.,fun.,
67,Need You Now,Lady Antebellum,Lady Antebellum,
68,7 Rings,Ariana Grande,Ariana Grande,
69,Stay With Me,Sam Smith,Sam Smith,
70,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,Macklemore & Ryan Lewis,Ray Dalton
71,Better Now,Post Malone,Post Malone,
72,Roar,Katy Perry,Katy Perry,
73,Rude,MAGIC!,MAGIC!,
74,"Thank U, Next",Ariana Grande,Ariana Grande,
75,Sugar,Maroon 5,Maroon 5,
76,Payphone,Maroon 5 Featuring Wiz Khalifa,Maroon 5,Wiz Khalifa
77,Airplanes,B.o.B Featuring Hayley Williams,B.o.B,Hayley Williams
78,Psycho,Post Malone Featuring Ty Dolla $ign,Post Malone,Ty Dolla $ign
79,Bodak Yellow (Money Moves),Cardi B,Cardi B,
80,Watch Me,Silento,Silento,
81,Can't Stop The Feeling!,Justin Timberlake,Justin Timberlake,
82,Cheerleader,OMI,OMI,
83,Bad Romance,Lady Gaga,Lady Gaga,
84,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly Clarkson,
85,What Do You Mean?,Justin Bieber,Justin Bieber,
86,Nice For What,Drake,Drake,
87,Sucker,Jonas Brothers,Jonas Brothers,
88,Meant To Be,Bebe Rexha & Florida Georgia Line,Bebe Rexha & Florida Georgia Line,
89,Timber,Pitbull Featuring Ke$ha,Pitbull,Ke$ha
90,Take Me To Church,Hozier,Hozier,
91,Hotline Bling,Drake,Drake,
92,Heathens,twenty one pilots,twenty one pilots,
93,Super Bass,Nicki Minaj,Nicki Minaj,
94,F**k You! (Forget You),CeeLo Green,CeeLo Green,
95,Panda,Desiigner,Desiigner,
96,Break Your Heart,Taio Cruz Featuring Ludacris,Taio Cruz,Ludacris
97,In My Feelings,Drake,Drake,
98,Wrecking Ball,Miley Cyrus,Miley Cyrus,
99,Ho Hey,The Lumineers,The Lumineers,
