,Song,Artist,Main Artist,Featuring Artist
0,Drivers License,Olivia Rodrigo,Olivia Rodrigo,
1,34+35,Ariana Grande Ft. Doja Cat & Megan Thee Stallion,Ariana Grande Ft. Doja Cat & Megan Thee Stallion,
2,Mood,24kGoldn Featuring iann dior,24kGoldn,iann dior
3,Blinding Lights,The Weeknd,The Weeknd,
4,Positions,Ariana Grande,Ariana Grande,
5,Levitating,Dua Lipa Featuring DaBaby,Dua Lipa,DaBaby
6,Go Crazy,Chris Brown & Young Thug,Chris Brown & Young Thug,
7,Holy,Justin Bieber Featuring Chance The Rapper,Justin Bieber,Chance The Rapper
8,Bang!,AJR,AJR,
9,Good Days,SZA,SZA,
10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,Pop Smoke,Lil Baby & DaBaby
11,I Hope,Gabby Barrett Featuring Charlie Puth,Gabby Barrett,Charlie Puth
12,Therefore I Am,Billie Eilish,Billie Eilish,
13,Lonely,Justin Bieber & benny blanco,Justin Bieber & benny blanco,
14,Better Together,Luke Combs,Luke Combs,
15,Body,Megan Thee Stallion,Megan Thee Stallion,
16,Laugh Now Cry Later,Drake Featuring Lil Durk,Drake,Lil Durk
17,Dakiti,Bad Bunny & Jhay Cortez,Bad Bunny & Jhay Cortez,
18,Whoopty,CJ,CJ,
19,Save Your Tears,The Weeknd,The Weeknd,
20,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,Internet Money & Gunna,Don Toliver & NAV
21,Bad Boy,Juice WRLD & Young Thug,Juice WRLD & Young Thug,
22,What You Know Bout Love,Pop Smoke,Pop Smoke,
23,Wasted On You,Morgan Wallen,Morgan Wallen,
24,7 Summers,Morgan Wallen,Morgan Wallen,
25,Anyone,Justin Bieber,Justin Bieber,
26,More Than My Hometown,Morgan Wallen,Morgan Wallen,
27,Willow,Taylor Swift,Taylor Swift,
28,Kings & Queens,Ava Max,Ava Max,
29,Before You Go,Lewis Capaldi,Lewis Capaldi,
30,You Broke Me First.,Tate McRae,Tate McRae,
