name,artist,uri
D.A.N.C.E,['Justice'],spotify:track:33yAEqzKXexYM3WlOYtTfQ
"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)","['""Weird Al"" Yankovic']",spotify:track:60R2v9lheAu3lwZwAFxMZK
Goliath,['Smith & Thell'],spotify:track:0z4kyKuFGmUV7WQ7gB1sAp
L'Empordà,['Sopa De Cabra'],spotify:track:1vzugDTXDgZCF0QQrzB5hX
House of the Rising Sun,['The Animals'],spotify:track:4mn2kNTqiGLwaUR8JdhJ1l
A Horse with No Name,"['America', 'George Martin']",spotify:track:54eZmuggBFJbV7k248bTTt
In The End,['Stay Homas'],spotify:track:4PrYq1x0pv5WSMCiy6rp9o
Washington Square,"['Chinese Man', 'Bionic Man Sound']",spotify:track:0phAx12SI8oWN1AmhyceSQ
America!,['Bill Callahan'],spotify:track:0cfwv1fgLrFntNR9aUgY5I
Moon,['Kid Francescoli'],spotify:track:0Nc1rZEB2tZLgpxw5nkpEu
Ophelia,['The Lumineers'],spotify:track:5NORWMFC27ywGSZxi8uquP
Sweet Wanomi,['Bill Withers'],spotify:track:0vJ3Y2MnDXi4hpxSeQdQEC
Take Me To Church,['Hozier'],spotify:track:3dYD57lRAUcMHufyqn9GcI
Saturday Sun,['Vance Joy'],spotify:track:2RiBogNRfulkNf7fVbPOrJ
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",spotify:track:2Foc5Q5nqNiosCNqttzHof
Seve - Radio Edit,['Tez Cadey'],spotify:track:6UqRGwjwYL0stXbaodTxwo
Sober,['Lorde'],spotify:track:7eElVgPcxDqmgGrSwVFI74
Everybody Wants To Rule The World,['Tears For Fears'],spotify:track:4RvWPyQ5RL0ao9LPZeSouE
Soy un pringao,['Santiuve'],spotify:track:1FeCQhO1BNOHOuwEnz1rCd
The Barrel,['Aldous Harding'],spotify:track:3s71tbgmSN9TfJLj4D18Mt
Weight of Sound,"['Stick Figure', ""TJ O'Neill""]",spotify:track:3W4x7fZhMHw2pE6wyBzzF8
Play For Today,['Belle & Sebastian'],spotify:track:1100lvvYze9COk2GeZRRWs
Redbone,['Childish Gambino'],spotify:track:0wXuerDYiBnERgIpbb3JBR
Building Steam With A Grain Of Salt,['DJ Shadow'],spotify:track:4cucslsiEgezV2o900Ykg3
The Sensual Woman,['The Herbaliser'],spotify:track:31U21fwH5izi4fVA2f1HKa
Never Come Back,['Caribou'],spotify:track:7IBrKDuBlyz3vW9JFCux10
"You're the One - From ""I Lost My Body""",['S+C+A+R+R'],spotify:track:5Tnx4R7Gwj1LZsfssfzchh
Blackbird,"[""Fat Freddy's Drop""]",spotify:track:3oSnMDaL0WsWyp2Gy80ulq
What It Is,['Mark Knopfler'],spotify:track:65f8Ca4HbZCMLhpZPTHW4O
Honey,['Robyn'],spotify:track:2JJw0uh08pNLYzFzBUAX8Y
Can I Kick It?,['A Tribe Called Quest'],spotify:track:3Ti0GdlrotgwsAVBBugv0I
Damage Done,['Moderat'],spotify:track:4zZN2PdZeGy3gBNItiVogT
Russia - Nightmares on Wax Remix,"[""Fat Freddy's Drop"", 'Nightmares On Wax']",spotify:track:6fXznH7uiIWOs53BwRtgPz
Boondigga,"[""Fat Freddy's Drop""]",spotify:track:7boSWvPaujwAgEsgrmMVg2
Hoy Ya No Soy Yo,"['Gustavo Cerati', 'Daniel Melero']",spotify:track:0AxlHaQceaVwGXGCEfydF6
Americans,['Janelle Monáe'],spotify:track:5KE6acpiakjqiIskbWVfxB
Pictures of Matchstick Men - Mono Version,['Status Quo'],spotify:track:0MRs5O62wfDgf5cQKalrPq
"Avança, vianant",['Manel'],spotify:track:50idfHzEgqKnFfaN2oYu5n
Mad Bad Cat,['17 Hippies'],spotify:track:0Odt7SrSnwy05t5TNaEu1F
Morning from 'Peer Gynt',"['Edvard Grieg', 'Various Artists']",spotify:track:4WGHQuR8gGRjAd5OjrqRHf
Kisses Back,['Anthony Keyrouz'],spotify:track:6uzwiQa5FkiiHLyt7ENYc6
Better Together,['Jack Johnson'],spotify:track:0rkzM1FJh4xWCTF1NwDGYN
Dust,"['Matt Simons', 'Betty Who']",spotify:track:0gp6wPoPamLLwYup5Rimba
Guns Are Drawn,"['The Roots', 'Son Little']",spotify:track:76tWml55YabjLsNPRwUfEF
The Seed (2.0),"['The Roots', 'Cody Chesnutt']",spotify:track:1a6Jt6USVGKzbjYpcKMwPB
Kathy's Waltz,['The Dave Brubeck Quartet'],spotify:track:3XfaSRXfGuWT1rrn9lWx30
"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix","['The Roots', 'Busta Rhymes', 'Joell Ortiz', 'Nate Ruess']",spotify:track:3ak8BzpcrFeLfiQnrmR5wJ
Weird Fishes/ Arpeggi,['Radiohead'],spotify:track:4Iyo50UoYhuuYORMLrGDci
House Of Cards,['Radiohead'],spotify:track:3Jc6X15OZCCyhGSHBF4hwB
Johnny B. Goode,['Chuck Berry'],spotify:track:2QfiRTz5Yc8DdShCxG1tB2
Seven Nation Army,['The White Stripes'],spotify:track:3dPQuX8Gs42Y7b454ybpMR
