name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,,spotify:track:1I7arMzqZe0nxd9TfkG0Dt,188166,0.649,0.718,8,-7.101,0,0.0506,0.0106,0.000198,0.117,0.715,112.049,2
Dancing in the Moonlight (feat. NEIMY),Jubël,NEIMY,spotify:track:5ow0sNF1zSqp71Ix5jEXWU,164010,0.659,0.617,11,-5.862,0,0.0649,0.27,0.0,0.187,0.187,119.858,0
Dust,Matt Simons,Betty Who,spotify:track:0gp6wPoPamLLwYup5Rimba,198480,0.659,0.588,1,-9.905,1,0.0469,0.151,0.000231,0.0918,0.574,92.037,0
H.O.L.Y.,Alle Farben,RHODES,spotify:track:61A5grQZlbqoCxVUWLI19v,174507,0.565,0.653,0,-5.846,0,0.0626,0.195,0.0,0.191,0.471,100.051,0
Only Love,Deepend,,spotify:track:7DSBxP0sGTuEb249LMJSLY,172222,0.647,0.81,2,-5.804,1,0.0521,0.0658,0.00236,0.237,0.648,108.011,2
Post Malone (feat. RANI),Sam Feldt,RANI,spotify:track:36orMWv2PgvnzXsd5CJ0yL,174444,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,2
Dive,Hot Shade,Mike Perry,spotify:track:0Npijoc6ZcUe1devUugKvI,164490,0.654,0.787,4,-4.999,1,0.0502,0.00515,0.0,0.144,0.409,123.978,0
Someone,Jubël,,spotify:track:68zNuCEl9UHTbcBltW2uDv,181102,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03e-06,0.105,0.347,103.039,0
Goliath,Smith & Thell,,spotify:track:0z4kyKuFGmUV7WQ7gB1sAp,204759,0.528,0.833,9,-6.19,1,0.0514,0.000414,1.23e-06,0.068,0.46,127.998,0
This City - Frank Walker Remix,Sam Fischer,Frank Walker,spotify:track:5SN8Y8Q430cJL4kqboNYlf,170204,0.68,0.806,11,-4.038,1,0.126,0.154,0.0,0.458,0.383,98.069,0
Forever Young,John De Sohn,LIAMOO,spotify:track:0343bYQtSfznf6v90jRLRK,167912,0.653,0.621,8,-6.045,1,0.0308,0.178,0.0,0.0952,0.584,121.98,0
Best Time’s Right Now,Lance & Linton,,spotify:track:0GoIGVoX1ZYPeb1BvzaTYP,199948,0.542,0.829,4,-3.607,1,0.0337,0.0249,0.0,0.198,0.571,104.98,0
Enemy,Sandro Cavazza,,spotify:track:3YOl49rulPzu6LHbeDicuT,212189,0.558,0.675,9,-8.224,1,0.0623,0.00339,0.0,0.272,0.327,131.847,0
Take Me Away,Tungevaag,Raaban,spotify:track:0lixDLKnErIvmoeqmdm0Di,196850,0.517,0.916,7,-5.253,1,0.205,0.155,0.00012,0.603,0.343,125.197,0
All For Love,Tungevaag,Raaban,spotify:track:5VGBgPVFO3e0lWz4WHYntQ,180485,0.689,0.901,7,-1.431,1,0.0678,0.145,1.03e-05,0.459,0.651,125.115,2
Bleeding Love,VAX,,spotify:track:2PhsCrrNsbudxwhPsveSyd,201572,0.729,0.675,2,-5.635,1,0.0762,0.422,0.0,0.116,0.524,106.973,3
