name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Under My Thumb,'The Rolling Stones',,spotify:track:3E8gEvhLia6w9lQv3hfxzM,221533,0.738,0.491,6,-13.407,0,0.0487,0.298,0.218,0.119,0.809,126.96
00h00,'Hoosky',,spotify:track:00LvjMnpznr4MZFSA8x9sA,51373,0.375,0.606,4,-9.383,0,0.197,0.339,0.000924,0.424,0.883,91.564
Conquer Me,'Jane B',,spotify:track:2jjPlj6KFzCffJ7KVQMwHX,216235,0.657,0.488,8,-10.416,0,0.0456,0.213,0.0942,0.36,0.662,149.763
Dapper (feat. Anderson .Paak),'Domo Genesis', 'Anderson .Paak',spotify:track:3seHx466iTcUmWE9dOVB3v,193093,0.753,0.594,1,-9.486,0,0.0816,0.0711,0.0,0.391,0.562,112.568
Sun Is Shining,'Bob Marley & The Wailers',,spotify:track:3PPigifoeEofIISQYbayMK,134573,0.784,0.52,0,-8.27,1,0.227,0.121,0.00158,0.146,0.854,72.678
Water Fountain,'Tune-Yards',,spotify:track:3pndgH9sLDTCWtCwr8LWt9,183453,0.825,0.69,1,-6.234,1,0.065,0.00337,0.00277,0.367,0.589,110.488
Ride A White Swan,'T. Rex',,spotify:track:3olQaoZDc2O1mFDod0evZI,132800,0.342,0.442,8,-9.782,1,0.0346,0.793,0.000105,0.0758,0.804,147.7
Whatcha See Is Whatcha Get,'The Dramatics',,spotify:track:6J7uQ9vLtBqNikEhlKUOnu,212840,0.638,0.708,6,-10.383,1,0.128,0.226,0.0,0.12,0.904,153.144
In Love With You,'Erykah Badu',,spotify:track:6uI95ERPZV6tivkNWsOKet,322533,0.72,0.272,9,-12.919,0,0.0683,0.58,0.0,0.145,0.661,132.494
Sunday Girl,'Blondie', 'Mike Chapman',spotify:track:23yv078f5kc08Kj6DMpO0t,185067,0.641,0.531,9,-13.691,1,0.0496,0.0256,0.000248,0.178,0.846,145.886
Two Weeks,'Grizzly Bear',,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,243160,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871
